Entry Name,SID,Item Group Name,Attribute 1 Name,Attribute 1 Option,Attribute 2 Name,Attribute 2 Option,Attribute 3 Name,Attribute 3 Option,Quantity,Unit,Min Level,Price,Value,Notes,Tags,Primary Folder,Subfolder-level1,Subfolder-level2,Subfolder-level3,Subfolder-level4,Photo1,Photo2,Photo3,Photo4,Photo5,Photo6,Photo7,Photo8,Barcode/QR1-Data,Barcode/QR1-Type,Barcode/QR2-Data,Barcode/QR2-Type
ALDI Manuka MGO 100+,S7S1KT0180,,,,,,,,1750,units,,0.00,0.0,,,Cartons,ALDI Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2_HbecXKs2d0hKcC-tFfetpphfC7mmLumOf_TWxlAsK_YyHoT8o_yqog==,,,,,,,,"","","",""
Aldi - Bramwells 250g Square jar - Manuka 5+,S7S1KT0063,,,,,,,,4932,units,,0.00,0.0,,,Cartons,ALDI Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2_xFX5FZ5ctZpsLUU1FuzG4BU0CMwmrNj-AOeDg7bJOBVNXaR4G04aEA==,,,,,,,,"","","",""
Aldi - Bramwells 500g Oval Jar - Pure,S7S1KT0057,,,,,,,,12800,units,,0.00,0.0,,,Cartons,ALDI Cartons,,,,,,,,,,,,"","","",""
Aldi - Bramwells 700g Jar - MB,S7S1KT0062,,,,,,,,4150,units,,0.00,0.0,,,Cartons,ALDI Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2__XJtncB1Kc9hymQvuPPndbsGSR5aUjmaYmWe4HEdfmOA0hxzWEq7Gg==,,,,,,,,"","","",""
Aldi - NovaFarms Raw 360g Sqz - Raw Tray,S7S1KT0106,,,,,,,,60,units,,0.00,0.0,,,Cartons,ALDI Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2_JLNxTbbU1K8HMzg5t2vXRMBNJhSchWJwbshxj7lILcAdTLfHK6ueGQ==,,,,,,,,"","","",""
Winn 3kg - Pure AU,S7S1KT0068,,,,,,,,5203,units,,0.00,0.0,,,Cartons,Costco Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2_ZGisUjUrqurhgHQIznj6DoxQqwapajvOx9i5Dqd8J0bv2oeNs_sL-g==,,,,,,,,"","","",""
Winn 500g Oval Jar - Pure,S7S1KT0073,,,,,,,,975,units,,0.00,0.0,,,Cartons,Costco Cartons,,,,,,,,,,,,"","","",""
Winn 500g Square Jar - Manuka 5+,S7S1KT0075,,,,,,,,900,units,,0.00,0.0,,,Cartons,Costco Cartons,,,,,,,,,,,,"","","",""
FairPrice 1Kg NCI Tub - Raw,S7S1KT0072,,,,,,,,908,units,,0.00,0.0,,,Cartons,Fairprice Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2_Wko8jZcLEX-ni6JmtLyVqbjfIlz19eM_zipMBOmuJl1Ela6K18Fjiw==,,,,,,,,"","","",""
FairPrice 360g Sqz - Raw,S7S1KT0069,,,,,,,,0,units,,0.00,0.0,,,Cartons,Fairprice Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2_gKw3hPfD_-4l4L-T9gyBh1idfx2XblK0Y9oeeSAjzsIxQVV7b9_dbA==,,,,,,,,"","","",""
FairPrice 500g Oval Jar - Pure,S7S1KT0080,,,,,,,,1776,units,,0.00,0.0,,,Cartons,Fairprice Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2_dZ6f6-p0hnJJcfr-FdWlEIvYodjV7w3jewVqvMPHeaylzNPyJ5XjYQ==,,,,,,,,"","","",""
Foodland Honey 370g Sqz - Blue Gum,S7S1KT0070,,,,,,,,548,units,,0.00,0.0,,,Cartons,Foodland Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2_NH-rKMkVSNfaMG9Exra0tmcyUoaPTTLdr6uAW6a9k1dG01O4Th8tyA==,,,,,,,,"","","",""
Foodland Honey 370g Sqz - Pure,S7S1KT0064,,,,,,,,1342,units,,0.00,0.0,,,Cartons,Foodland Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2_ilxBQIRf7edn6uqibWarN0ROnfl7IqxIB7aT_tBEKvYdYoMjEBZgcw==,,,,,,,,"","","",""
Foodland Honey 500g Round Jar - Blue Gum,S7S1KT0065,,,,,,,,497,units,,0.00,0.0,,,Cartons,Foodland Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2_L3Sdjp39at3MLxFByrCrLDj2g2hWmt8J00wibx8GX0l3b3OF5s5ZBg==,,,,,,,,"","","",""
NovaFarms 250g Square Jar - Manuka 10+,S7S1KT0092,,,,,,,,1496,units,,0.00,0.0,,,Cartons,NovaFarms Cartons,,,,,,,,,,,,"","","",""
NovaFarms 250g Square Jar - Manuka 5+,S7S1KT0078,,,,,,,,926,units,,0.00,0.0,,,Cartons,NovaFarms Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2_JSyHqelnB-UsTM03y8UirbpzxOrKcR6SVTheEko5v-yRNC8jXwko9A==,,,,,,,,"","","",""
NovaFarms 360g Sqz - MG 100+,S7S1KT0083,,,,,,,,650,units,,0.00,0.0,,,Cartons,NovaFarms Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2_A46OGDr2h-oMkACGv6x3ZaEEdev4cZbRqw0azWi5Rts_eUXIqUr1-Q==,,,,,,,,"","","",""
NovaFarms 360g Sqz - MG 30+,S7S1KT0090,,,,,,,,1758,units,,0.00,0.0,,,Cartons,NovaFarms Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2_RQINVdZz9oz-CBew5-S6iH3LUJvctiNZ8FB2kaKMcdleMs4sTDM_ig==,,,,,,,,"","","",""
NovaFarms 360g Sqz - Raw,S7S1KT0085,,,,,,,,3817,units,,0.00,0.0,,,Cartons,NovaFarms Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2_mOFtcS_YscHIPinZ2edEfvKLfXfS9nC6DJzaxTjYj9x8OKuE5KrHog==,,,,,,,,"","","",""
NovaFarms 3Kg Tub - Clear,S7S1KT0084,,,,,,,,980,units,,0.00,0.0,,,Cartons,NovaFarms Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2_UpoVJ6GP-VmlT9usVQqcPHtATMS_LVtmVnAskNpL6uhy_cXgiFUvJA==,,,,,,,,"","","",""
NovaFarms 500g Sqz - Raw,S7S1KT0088,,,,,,,,523,units,,0.00,0.0,,,Cartons,NovaFarms Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2_MFMM0brGIteuJjSIX9OdLzdZ_Q-uFk9iR-t8KXSTQrjZ1tEKNfqcCQ==,,,,,,,,"","","",""
Panda Honey 3kg Tub,S7S1KT0165,,,,,,,,16,units,,0.00,0.0,,,Cartons,Panda Honey Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2_J9UAGTCYCF9aQ70fSpjOEDOIp7T1nzKhMhOk5VLwTppOvNEC_AzryA==,,,,,,,,"","","",""
PandaHoney 1Kg NCI Tub - Pure,S7S1KT0089,,,,,,,,588,units,,0.00,0.0,,,Cartons,Panda Honey Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2_03RTHVqqe4FRBYZQISHIJkUqtPqdcJXexDqPpKm0-WZ2BSprCmeC4w==,,,,,,,,"","","",""
PandaHoney 360g Sqz - Blue Gum,S7S1KT0094,,,,,,,,1301,units,,0.00,0.0,,,Cartons,Panda Honey Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2_c17qDGLQKks_AGw0Az_AJ0VMGbNYcGMNIJes93rrpzS5FlV7UeI8Sw==,,,,,,,,"","","",""
PandaHoney 360g Sqz - Orange Blossom,S7S1KT0100,,,,,,,,2225,units,,0.00,0.0,,,Cartons,Panda Honey Cartons,,,,,,,,,,,,"","","",""
PandaHoney 360g Sqz - Pure,S7S1KT0091,,,,,,,,650,units,,0.00,0.0,,,Cartons,Panda Honey Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2_D9Zw0IWxrZog61C-soeTcbn7eTX7CRCtAl7RYSux4F-2Ke_HgWtatw==,,,,,,,,"","","",""
PandaHoney 500g Oval Jar - Pure,S7S1KT0099,,,,,,,,267,units,,0.00,0.0,,,Cartons,Panda Honey Cartons,,,,,,,,,,,,"","","",""
PandaHoney 500g Sqz - Blue Gum,S7S1KT0098,,,,,,,,1897,units,,0.00,0.0,,,Cartons,Panda Honey Cartons,,,,,,,,,,,,"","","",""
PandaHoney 500g Sqz - KI Honey,S7S1KT0097,,,,,,,,1451,units,,0.00,0.0,,,Cartons,Panda Honey Cartons,,,,https://lnk.sortly.co/v2/downloads/photo/v2_ZyFa_gsdGDM8gLrHDKVuym_SHpK7oZlQ_GtQnjzZcI2FKdV-4JYyZw==,,,,,,,,"","","",""
